startup_name,industry,funding_rounds,funding_amount_m_usd,valuation_m_usd,revenue_m_usd,employees,market_share_pct,profitable,year_founded,region,exit_status,profitable_flag,company_age_years,valuation_per_funding_x
Startup_1,IoT,1,101.09,844.75,67.87,1468,5.2,No,2006,Europe,Private,0,20,8.36
Startup_2,EdTech,1,247.62,3310.83,75.65,3280,8.1,Yes,2003,South America,Private,1,23,13.37
Startup_3,EdTech,1,109.24,1059.37,84.21,4933,2.61,Yes,1995,South America,Private,1,31,9.7
Startup_4,Gaming,5,10.75,101.9,47.08,1059,2.53,No,2003,South America,Private,0,23,9.48
Startup_5,IoT,4,249.28,850.11,50.25,1905,4.09,No,1997,Europe,Acquired,0,29,3.41
Startup_6,AI,5,103.89,1541.76,12.56,1462,8.96,Yes,2004,Europe,IPO,1,22,14.84
Startup_7,Gaming,4,232.26,1039.51,38.6,1404,0.1,No,2016,Australia,Private,0,10,4.48
Startup_8,HealthTech,5,109.15,630.19,64.37,3420,9.02,Yes,2002,Australia,IPO,1,24,5.77
Startup_9,Gaming,5,258.39,935.47,78.06,447,1.62,No,2020,North America,Acquired,0,6,3.62
Startup_10,FinTech,3,66.24,707.45,21.8,3655,9.9,No,1995,Europe,Private,0,31,10.68
Startup_11,AI,5,292.38,1665.52,13.87,4657,9.55,No,1994,Europe,Private,0,32,5.7
Startup_12,FinTech,2,234.04,1207.68,66.34,1183,5.0,No,2011,Europe,Private,0,15,5.16
Startup_13,IoT,3,34.71,141.02,0.29,4463,5.18,Yes,2012,Australia,Acquired,1,14,4.06
Startup_14,Cybersecurity,5,169.95,720.54,17.92,1262,4.87,No,2014,South America,Acquired,0,12,4.24
Startup_15,FinTech,1,295.62,2960.94,3.0,3639,6.39,Yes,2015,Asia,Acquired,1,11,10.02
Startup_16,HealthTech,2,141.58,1593.98,16.77,1846,1.0,Yes,1994,Australia,Private,1,32,11.26
Startup_17,Gaming,2,55.04,427.58,18.21,2314,0.42,No,2015,Europe,Private,0,11,7.77
Startup_18,Cybersecurity,2,145.69,1276.06,38.83,915,0.67,Yes,2009,Australia,Private,1,17,8.76
Startup_19,Gaming,3,153.98,1729.44,40.29,4345,4.5,No,1995,North America,Acquired,0,31,11.23
Startup_20,FinTech,5,222.64,714.35,87.44,4642,2.83,No,1995,Europe,Private,0,31,3.21
Startup_21,Gaming,5,209.8,1442.91,51.06,4014,6.26,Yes,2007,North America,Private,1,19,6.88
Startup_22,IoT,1,121.06,1776.82,72.37,2174,9.93,No,1993,Europe,Private,0,33,14.68
Startup_23,Cybersecurity,1,65.8,655.46,10.5,2177,3.92,No,2006,Australia,Private,0,20,9.96
Startup_24,IoT,2,193.69,1171.96,22.62,128,5.78,No,2003,South America,Private,0,23,6.05
Startup_25,FinTech,1,126.8,1174.26,70.32,3163,4.21,No,2003,Asia,Acquired,0,23,9.26
Startup_26,IoT,3,40.12,285.33,5.38,790,8.49,Yes,2002,North America,Acquired,1,24,7.11
Startup_27,HealthTech,5,270.22,2536.54,48.71,2421,9.03,Yes,1996,Australia,Private,1,30,9.39
Startup_28,FinTech,2,207.52,935.69,59.98,801,8.79,Yes,2004,South America,IPO,1,22,4.51
Startup_29,FinTech,1,205.11,941.98,60.25,4177,9.75,Yes,2008,Australia,Acquired,1,18,4.59
Startup_30,FinTech,3,246.86,1165.8,2.39,4159,0.37,No,2006,North America,Acquired,0,20,4.72
Startup_31,AI,3,159.13,2272.03,32.28,1941,8.41,No,2008,Asia,Acquired,0,18,14.28
Startup_32,Gaming,1,244.61,2885.12,63.69,2161,7.54,No,2009,Australia,Private,0,17,11.79
Startup_33,AI,5,149.68,740.7,14.99,3812,2.36,No,2021,Europe,Private,0,5,4.95
Startup_34,AI,1,20.62,108.47,69.57,1306,9.57,No,2013,South America,Private,0,13,5.26
Startup_35,HealthTech,2,121.87,1434.4,74.62,4168,1.57,Yes,2006,Australia,Private,1,20,11.77
Startup_36,Cybersecurity,1,149.49,728.61,98.2,3145,6.83,No,1996,South America,Private,0,30,4.87
Startup_37,Gaming,3,216.2,1257.15,21.06,3241,2.33,No,1990,Europe,Private,0,36,5.81
Startup_38,IoT,1,32.42,472.04,82.53,2357,4.37,No,2021,Asia,Private,0,5,14.56
Startup_39,EdTech,5,42.44,257.34,52.08,1937,7.22,Yes,2002,Asia,Private,1,24,6.06
Startup_40,FinTech,4,79.47,869.37,37.41,2726,5.68,Yes,1995,Europe,Acquired,1,31,10.94
Startup_41,IoT,1,80.32,1184.2,12.33,369,4.33,No,2003,South America,Private,0,23,14.74
Startup_42,FinTech,5,219.79,1646.57,73.58,4921,3.33,No,2004,Australia,Private,0,22,7.49
Startup_43,HealthTech,5,75.59,242.66,23.66,2395,8.41,Yes,1993,Europe,Private,1,33,3.21
Startup_44,FinTech,3,190.11,1127.31,37.21,951,1.52,No,2005,North America,Private,0,21,5.93
Startup_45,AI,5,148.54,1926.64,6.35,1382,4.36,No,2017,South America,Private,0,9,12.97
Startup_46,Gaming,5,172.2,2303.23,80.16,1444,9.05,Yes,2005,Asia,Private,1,21,13.38
Startup_47,EdTech,5,251.51,3074.01,76.68,3185,8.47,Yes,1993,Europe,IPO,1,33,12.22
Startup_48,E-Commerce,5,121.61,529.89,73.39,4862,4.07,No,2015,Asia,Private,0,11,4.36
Startup_49,FinTech,2,231.39,2903.05,30.01,345,7.65,Yes,2017,South America,Private,1,9,12.55
Startup_50,IoT,2,126.9,1779.66,17.43,2994,8.25,Yes,2021,Asia,Private,1,5,14.02
Startup_51,AI,3,106.48,1086.87,63.79,387,8.9,No,1991,Europe,Acquired,0,35,10.21
Startup_52,E-Commerce,1,287.61,4110.09,49.67,1561,5.49,Yes,2020,South America,Private,1,6,14.29
Startup_53,EdTech,5,55.72,720.02,17.91,304,2.12,Yes,1992,North America,Private,1,34,12.92
Startup_54,E-Commerce,1,27.56,303.26,68.62,143,2.63,Yes,1997,Europe,Acquired,1,29,11.0
Startup_55,AI,1,231.41,2297.03,99.11,363,3.03,Yes,2013,Australia,Private,1,13,9.93
Startup_56,Gaming,3,20.94,150.41,74.75,4936,5.98,No,2004,Europe,IPO,0,22,7.18
Startup_57,Gaming,5,251.21,1233.81,74.02,1527,0.42,No,2020,South America,Private,0,6,4.91
Startup_58,Cybersecurity,5,131.44,1348.5,95.04,3461,6.4,No,1998,Europe,Private,0,28,10.26
Startup_59,Gaming,4,274.7,1872.72,20.37,1632,3.71,No,1991,North America,Private,0,35,6.82
Startup_60,Cybersecurity,1,216.6,2901.85,56.6,1308,3.02,No,1997,North America,Acquired,0,29,13.4
Startup_61,E-Commerce,1,183.32,2735.14,97.97,1139,8.81,Yes,1996,Australia,Private,1,30,14.92
Startup_62,HealthTech,2,284.82,3426.14,16.61,2191,4.65,Yes,2005,Asia,IPO,1,21,12.03
Startup_63,IoT,4,119.3,487.43,70.06,3175,1.04,Yes,2019,South America,IPO,1,7,4.09
Startup_64,IoT,2,286.25,1850.39,58.62,3840,8.28,Yes,1999,South America,Acquired,1,27,6.46
Startup_65,E-Commerce,2,40.93,176.38,58.69,2156,0.57,Yes,2007,Asia,Acquired,1,19,4.31
Startup_66,FinTech,2,145.38,1571.0,69.8,1242,7.29,No,1994,North America,Private,0,32,10.81
Startup_67,FinTech,3,81.34,990.91,92.97,3740,7.76,No,2018,North America,IPO,0,8,12.18
Startup_68,Gaming,3,162.18,2288.05,78.28,2839,3.59,No,2012,Europe,Private,0,14,14.11
Startup_69,IoT,2,49.02,404.81,5.71,4265,8.27,Yes,1994,Australia,Private,1,32,8.26
Startup_70,IoT,4,252.54,3489.22,85.29,1003,5.21,No,2019,Australia,Private,0,7,13.82
Startup_71,Cybersecurity,1,254.0,3437.81,22.63,2572,4.69,Yes,1995,Australia,Private,1,31,13.53
Startup_72,HealthTech,4,286.59,1950.63,37.75,1312,0.55,No,1993,Europe,Private,0,33,6.81
Startup_73,AI,5,46.82,628.64,46.23,661,2.97,Yes,2018,Australia,Private,1,8,13.43
Startup_74,FinTech,3,187.19,1405.44,48.14,2665,9.32,Yes,2012,Asia,Acquired,1,14,7.51
Startup_75,IoT,1,142.53,935.34,43.57,2216,3.98,Yes,1995,Europe,Private,1,31,6.56
Startup_76,Cybersecurity,1,103.64,1118.16,93.74,1914,5.51,Yes,2021,Asia,Acquired,1,5,10.79
Startup_77,EdTech,5,105.79,734.24,70.63,3735,5.37,Yes,2007,Europe,IPO,1,19,6.94
Startup_78,Cybersecurity,5,124.13,1311.12,63.15,2051,5.95,Yes,2004,Australia,IPO,1,22,10.56
Startup_79,FinTech,2,211.63,2183.59,5.08,3167,0.71,Yes,2021,Asia,Private,1,5,10.32
Startup_80,FinTech,3,179.69,1754.0,90.4,1145,3.69,Yes,1998,Asia,Acquired,1,28,9.76
Startup_81,Cybersecurity,3,138.17,1045.26,90.95,271,7.26,Yes,1999,Asia,Private,1,27,7.57
Startup_82,AI,4,23.24,222.69,78.04,1850,2.09,No,2009,Europe,Acquired,0,17,9.58
Startup_83,E-Commerce,2,23.79,241.65,0.8,1713,2.12,No,1995,South America,Private,0,31,10.16
Startup_84,FinTech,2,1.2,11.46,5.82,3635,0.2,No,1992,Australia,Acquired,0,34,9.55
Startup_85,Cybersecurity,2,290.33,2419.33,22.6,3216,4.43,No,2000,Asia,Acquired,0,26,8.33
Startup_86,IoT,2,2.07,6.57,13.22,2298,8.84,No,2006,South America,Private,0,20,3.17
Startup_87,Cybersecurity,3,31.38,315.2,39.94,3737,0.61,Yes,2021,Australia,Acquired,1,5,10.04
Startup_88,HealthTech,3,94.72,475.62,92.27,3834,1.99,Yes,1993,Australia,Private,1,33,5.02
Startup_89,E-Commerce,2,242.33,2595.58,47.26,1515,3.17,Yes,1993,Asia,Private,1,33,10.71
Startup_90,EdTech,4,288.65,3496.17,1.44,480,7.34,No,2006,Asia,Acquired,0,20,12.11
Startup_91,AI,1,237.11,2135.26,28.35,981,6.44,No,2008,Europe,Private,0,18,9.01
Startup_92,Gaming,1,207.32,1971.27,4.56,1212,4.22,No,1994,South America,IPO,0,32,9.51
Startup_93,EdTech,4,156.63,2258.25,3.73,1965,7.61,No,2021,South America,Private,0,5,14.42
Startup_94,E-Commerce,2,26.47,348.5,27.64,562,6.14,No,2011,Asia,Acquired,0,15,13.17
Startup_95,E-Commerce,3,287.47,4016.2,27.63,887,8.97,No,1995,Australia,Private,0,31,13.97
Startup_96,E-Commerce,1,227.64,2905.87,78.73,2199,8.2,Yes,2011,Asia,Acquired,1,15,12.77
Startup_97,EdTech,5,191.87,826.39,97.49,4766,2.6,Yes,1990,Australia,Private,1,36,4.31
Startup_98,IoT,5,227.83,1090.83,37.18,2672,2.79,No,2009,Australia,Private,0,17,4.79
Startup_99,E-Commerce,4,217.37,2025.78,42.95,4964,1.34,No,2011,Asia,Private,0,15,9.32
Startup_100,Cybersecurity,2,191.35,1139.08,84.49,4682,3.44,No,2000,North America,Private,0,26,5.95
Startup_101,EdTech,1,294.18,2565.35,26.89,4795,10.0,No,2002,South America,Private,0,24,8.72
Startup_102,Gaming,2,271.06,2095.94,15.72,1615,4.12,Yes,1992,Australia,Private,1,34,7.73
Startup_103,E-Commerce,1,194.18,1862.76,85.32,3493,2.28,No,1998,Australia,Acquired,0,28,9.59
Startup_104,Cybersecurity,4,208.11,2489.52,4.75,2459,7.65,No,2001,North America,IPO,0,25,11.96
Startup_105,IoT,4,15.95,184.79,62.01,4499,5.47,No,2012,Europe,IPO,0,14,11.59
Startup_106,HealthTech,5,201.14,1861.51,56.24,1951,1.58,No,2003,North America,Private,0,23,9.25
Startup_107,IoT,2,13.73,176.69,34.66,4815,3.87,Yes,2022,North America,Private,1,4,12.87
Startup_108,Gaming,5,176.68,1443.54,31.59,4804,4.2,Yes,2007,Australia,Private,1,19,8.17
Startup_109,E-Commerce,2,299.81,4125.56,77.21,2813,7.56,Yes,1998,South America,Acquired,1,28,13.76
Startup_110,Gaming,5,166.96,643.69,8.73,3830,0.3,No,2012,North America,Private,0,14,3.86
Startup_111,EdTech,3,142.23,2056.07,23.75,3541,2.76,No,1999,Europe,Acquired,0,27,14.46
Startup_112,FinTech,3,94.2,1022.67,73.27,3807,5.22,No,2008,Asia,Private,0,18,10.86
Startup_113,E-Commerce,3,36.6,276.73,54.88,4182,2.76,Yes,1994,North America,Private,1,32,7.56
Startup_114,FinTech,3,219.44,1177.48,12.89,4704,6.32,No,2012,North America,Private,0,14,5.37
Startup_115,Cybersecurity,1,58.18,509.09,88.23,1975,4.87,No,2019,Europe,Private,0,7,8.75
Startup_116,HealthTech,3,35.03,186.87,39.41,3827,3.68,Yes,2014,South America,Private,1,12,5.33
Startup_117,AI,4,126.82,633.59,82.8,2824,9.5,Yes,2017,North America,Acquired,1,9,5.0
Startup_118,Gaming,4,238.7,2484.44,78.79,907,6.36,No,2014,North America,Private,0,12,10.41
Startup_119,IoT,1,223.65,2074.8,62.48,369,1.39,No,1999,South America,Acquired,0,27,9.28
Startup_120,HealthTech,3,16.94,187.04,49.5,4263,5.64,No,2003,Europe,Private,0,23,11.04
Startup_121,E-Commerce,3,136.82,1936.72,97.96,3124,7.83,Yes,2019,North America,Private,1,7,14.16
Startup_122,FinTech,3,156.97,1473.5,14.58,2563,7.11,No,2014,South America,Acquired,0,12,9.39
Startup_123,IoT,5,193.54,1929.82,72.54,1868,1.8,Yes,2003,North America,IPO,1,23,9.97
Startup_124,FinTech,2,195.23,795.66,19.2,120,9.73,No,1999,Asia,Private,0,27,4.08
Startup_125,EdTech,5,109.73,1274.14,33.89,2389,4.54,Yes,2000,Australia,Private,1,26,11.61
Startup_126,FinTech,2,168.42,1313.48,30.94,4981,1.67,Yes,2000,Asia,Private,1,26,7.8
Startup_127,EdTech,3,144.58,2128.32,94.71,3940,1.88,No,2010,North America,Acquired,0,16,14.72
Startup_128,Cybersecurity,3,265.56,3419.91,96.74,4940,1.07,Yes,2010,Europe,Acquired,1,16,12.88
Startup_129,IoT,5,159.31,1476.77,18.38,2495,8.05,No,2011,Australia,Private,0,15,9.27
Startup_130,IoT,5,132.59,593.83,2.3,947,1.31,Yes,1996,Asia,Private,1,30,4.48
Startup_131,AI,2,121.64,1619.39,72.03,1729,1.34,Yes,2006,South America,Acquired,1,20,13.31
Startup_132,E-Commerce,4,171.94,2165.99,41.86,2339,8.52,No,1991,Europe,Private,0,35,12.6
Startup_133,EdTech,2,241.29,1258.33,8.98,2772,3.51,Yes,2001,Asia,Acquired,1,25,5.22
Startup_134,AI,5,161.75,1058.39,68.41,1142,0.41,Yes,2007,South America,Private,1,19,6.54
Startup_135,FinTech,5,198.67,2487.52,54.56,2532,0.61,No,2000,North America,Private,0,26,12.52
Startup_136,FinTech,1,221.49,1156.78,98.05,4122,1.51,No,2005,South America,Private,0,21,5.22
Startup_137,AI,5,156.29,2190.1,22.82,3425,2.21,Yes,2007,Asia,Private,1,19,14.01
Startup_138,IoT,1,128.33,1038.75,40.46,4783,6.68,Yes,2015,Asia,Private,1,11,8.09
Startup_139,FinTech,4,263.06,1063.94,54.3,3911,1.66,No,2005,North America,Acquired,0,21,4.04
Startup_140,Gaming,2,125.54,1605.53,79.19,3642,1.28,No,1995,South America,Acquired,0,31,12.79
Startup_141,Cybersecurity,2,138.85,1038.89,54.93,2958,7.67,No,2001,South America,Private,0,25,7.48
Startup_142,Cybersecurity,1,297.11,2768.47,61.33,2372,6.74,No,2002,North America,Private,0,24,9.32
Startup_143,Gaming,2,0.57,2.48,22.69,4226,4.41,No,1993,South America,Private,0,33,4.35
Startup_144,AI,5,56.05,169.89,84.71,281,5.54,Yes,1991,North America,Private,1,35,3.03
Startup_145,Gaming,3,115.5,1230.75,42.92,2004,3.19,No,2015,Europe,Private,0,11,10.66
Startup_146,EdTech,1,279.81,2569.24,14.18,1232,4.88,Yes,2016,Asia,Acquired,1,10,9.18
Startup_147,EdTech,2,21.47,217.33,66.45,3757,5.12,No,2016,Europe,Private,0,10,10.12
Startup_148,AI,1,3.34,41.83,21.69,3740,3.93,No,2004,Australia,Private,0,22,12.52
Startup_149,Gaming,1,16.28,175.16,9.85,700,9.08,No,1997,Australia,Private,0,29,10.76
Startup_150,EdTech,3,27.02,137.73,86.21,1314,0.26,No,1996,Australia,Private,0,30,5.1
Startup_151,IoT,5,11.76,86.19,46.07,4157,7.84,Yes,2001,North America,Acquired,1,25,7.33
Startup_152,Gaming,1,144.19,2000.02,74.95,3239,1.33,Yes,2002,South America,Private,1,24,13.87
Startup_153,IoT,2,174.44,2135.03,29.13,4119,8.0,Yes,2006,Europe,Private,1,20,12.24
Startup_154,EdTech,4,81.87,792.47,78.72,2316,6.2,Yes,2006,Europe,Private,1,20,9.68
Startup_155,Cybersecurity,1,119.79,726.85,11.28,2846,8.45,Yes,2010,Europe,Acquired,1,16,6.07
Startup_156,EdTech,1,27.96,185.23,35.66,4213,1.07,No,1997,Europe,Acquired,0,29,6.62
Startup_157,IoT,3,101.24,1192.96,97.81,3564,5.63,Yes,1994,Australia,IPO,1,32,11.78
Startup_158,HealthTech,5,156.99,2074.48,79.42,3403,5.06,Yes,2015,Europe,IPO,1,11,13.21
Startup_159,E-Commerce,4,219.82,2430.57,49.78,546,7.09,No,2005,South America,Private,0,21,11.06
Startup_160,FinTech,2,1.5,19.07,34.04,2699,5.39,Yes,2017,Australia,Private,1,9,12.71
Startup_161,Gaming,4,140.46,1713.59,87.23,4679,5.45,No,2018,Europe,Private,0,8,12.2
Startup_162,HealthTech,2,89.45,429.04,54.53,1093,4.35,No,2001,North America,Private,0,25,4.8
Startup_163,EdTech,5,255.92,2069.71,75.87,3368,3.16,Yes,2019,Asia,Private,1,7,8.09
Startup_164,Cybersecurity,2,214.81,1038.78,75.44,29,4.87,No,2012,Asia,IPO,0,14,4.84
Startup_165,AI,3,176.94,1030.29,1.89,1577,1.27,No,2005,Asia,Private,0,21,5.82
Startup_166,EdTech,3,83.54,1122.04,12.71,2963,9.62,Yes,2003,Australia,Private,1,23,13.43
Startup_167,Cybersecurity,3,273.15,2369.5,66.0,4241,7.17,Yes,1999,Europe,Acquired,1,27,8.67
Startup_168,E-Commerce,3,14.01,132.03,16.25,1772,9.53,No,1996,Australia,Acquired,0,30,9.42
Startup_169,EdTech,4,33.29,171.16,25.62,4748,2.34,Yes,2018,South America,Private,1,8,5.14
Startup_170,IoT,5,117.79,794.76,94.67,2240,8.81,No,1992,North America,Private,0,34,6.75
Startup_171,AI,2,37.77,217.67,56.06,205,8.11,No,2004,North America,Private,0,22,5.76
Startup_172,Cybersecurity,2,286.95,1570.83,75.1,3203,6.8,Yes,2008,Asia,Acquired,1,18,5.47
Startup_173,Cybersecurity,3,239.5,2552.0,55.84,261,6.29,Yes,2002,Asia,Private,1,24,10.66
Startup_174,Cybersecurity,3,78.07,474.87,55.3,3752,3.23,No,2010,Asia,Private,0,16,6.08
Startup_175,E-Commerce,1,176.77,1870.97,9.51,4647,8.18,Yes,2016,Europe,Acquired,1,10,10.58
Startup_176,EdTech,5,294.71,1090.86,34.43,2246,5.07,Yes,2018,South America,Private,1,8,3.7
Startup_177,E-Commerce,4,265.32,1247.35,28.31,3180,0.8,No,2009,South America,IPO,0,17,4.7
Startup_178,Gaming,2,180.44,1135.78,39.13,3611,3.2,No,2014,South America,Private,0,12,6.29
Startup_179,FinTech,1,271.17,2756.32,79.85,3341,9.36,No,1995,South America,Acquired,0,31,10.16
Startup_180,FinTech,1,296.76,3297.03,37.26,4902,8.52,Yes,1991,Asia,Acquired,1,35,11.11
Startup_181,Gaming,2,223.13,1854.79,45.22,418,9.82,Yes,2011,North America,IPO,1,15,8.31
Startup_182,EdTech,4,19.96,166.66,39.8,2019,6.32,Yes,2021,Asia,Acquired,1,5,8.35
Startup_183,IoT,1,120.77,1412.31,9.43,1386,2.55,Yes,2005,South America,Private,1,21,11.69
